excntry,eom,stocks,me_lag1,dolvol_lag1,mkt_vw_lcl,mkt_ew_lcl,mkt_vw,mkt_ew,mkt_vw_exc,mkt_ew_exc
ARE,2001-06-30,6,1065.1637702,,-0.022454535,-0.016860245,-0.022462684,-0.016856375,-0.025240684,-0.019634375
ARE,2001-07-31,5,988.14732563,,0.0240310401,0.0154549733,0.024070431,0.0154871402,0.021071431,0.0124881402
ARE,2001-08-31,4,788.46027986,,0.031354988,0.0237164641,0.0313093917,0.0236712055,0.0283133917,0.0206752055
ARE,2001-09-30,4,813.1464916,,0.0268861218,0.0146664849,0.0268951372,0.0146768053,0.0241651372,0.0119468053
ARE,2001-10-31,5,889.46920847,,-0.058416121,-0.037733183,-0.058421365,-0.037738897,-0.060575365,-0.039892897
ARE,2001-11-30,5,837.50520298,,0.0220587384,0.0196198392,0.0220616641,0.0196079027,0.0203126641,0.0178589027
ARE,2001-12-31,5,643.83716828,,0.0536087412,0.1087018738,0.0536414338,0.1087324363,0.0521574338,0.1072484363
ARE,2002-01-31,6,859.69381218,,0.0163751605,0.0193584277,0.0163500024,0.019338426,0.0149600024,0.017948426
ARE,2002-02-28,4,622.45598015,,0.0042732418,0.0119451789,0.0042428429,0.0119075888,0.0029578429,0.0106225888
ARE,2002-03-31,4,625.09696309,,-0.058553657,-0.046342399,-0.058506458,-0.046294588,-0.059847458,-0.047635588
ARE,2002-04-30,5,657.94991112,,0.1087609379,0.0548888943,0.1087254264,0.0548587993,0.1071794264,0.0533127993
ARE,2002-05-31,10,9417.7427417,,-0.017107358,-0.024887933,-0.017073932,-0.024847573,-0.018515932,-0.026289573
ARE,2002-06-30,11,11022.292812,,-0.010683775,0.0060488718,-0.010670943,0.0060639859,-0.011982943,0.0047519859
ARE,2002-07-31,11,10904.674552,,0.0396988966,0.0332326054,0.0397276129,0.033259432,0.0382206129,0.031752432
ARE,2002-08-31,11,11337.891241,,0.0825673222,0.0730824347,0.0825462021,0.0730572821,0.0811442021,0.0716552821
ARE,2002-09-30,11,12273.792775,,-0.039430675,-0.038589737,-0.039458676,-0.038621465,-0.040872676,-0.040035465
ARE,2002-10-31,13,12161.606604,,0.0034162363,-0.002119194,0.0034562829,-0.002081735,0.0021222829,-0.003415735
ARE,2002-11-30,13,12300.465028,,0.0217096349,0.0072818183,0.0216292669,0.0072124197,0.0204632669,0.0060464197
ARE,2002-12-31,13,12390.724717,,0.0123220141,0.0059323607,0.0126931071,0.0062861442,0.0116141071,0.0052071442
ARE,2003-01-31,14,12739.301592,,0.0189575907,0.0110546781,0.0186610271,0.0108457796,0.0177270271,0.0099117796
ARE,2003-02-28,14,25858.313558,,-0.003825275,-0.003185494,-0.002614178,-0.002837303,-0.003485178,-0.003708303
ARE,2003-03-31,14,25997.757935,,0.0040244758,-0.021437056,0.0026733443,-0.022020915,0.0016533443,-0.023040915
ARE,2003-04-30,13,25751.392752,,0.0342313368,0.0399944698,0.0330641891,0.0391440514,0.0321251891,0.0382050514
ARE,2003-05-31,14,27066.469289,,-0.009213961,0.0014836165,-0.00803467,0.0023245567,-0.00893767,0.0014215567
ARE,2003-06-30,15,27094.258762,,0.0071816609,0.0291741127,0.0078025042,0.0292669204,0.0068185042,0.0282829204
ARE,2003-07-31,15,27305.661831,,0.0973785329,0.1447756461,0.096247707,0.1438478676,0.095573707,0.1431738676
ARE,2003-08-31,16,30004.968102,,0.0042458366,0.0339632822,0.005343666,0.0351999371,0.004654666,0.0345109371
ARE,2003-09-30,16,30165.30463,,0.0964830328,0.1614563649,0.1018651816,0.1666645132,0.1010001816,0.1657995132
ARE,2003-10-31,17,33319.847992,,-0.000124252,0.0431262723,-0.002405107,0.0392906529,-0.003105107,0.0385906529
ARE,2003-11-30,17,33239.710193,,0.0225785552,0.0422559769,0.0194704767,0.041841503,0.0187454767,0.041116503
ARE,2003-12-31,17,33886.903197,,-0.005533938,0.0495304497,-0.005848118,0.0488446896,-0.006679118,0.0480136896
ARE,2004-01-31,17,33688.728604,,0.0536610812,0.1042104013,0.052342142,0.1029738529,0.051646142,0.1022778529
ARE,2004-02-29,18,35471.602739,,0.042918285,0.0319882368,0.0438859152,0.0327962229,0.0432629152,0.0321732229
ARE,2004-03-31,19,37049.157844,,-0.013215058,0.047438808,-0.013101897,0.0473970061,-0.013945897,0.0465530061
ARE,2004-04-30,19,36204.439714,,-0.035479251,0.0806159701,-0.035152491,0.0808240346,-0.035947491,0.0800290346
ARE,2004-05-31,18,34901.436529,,0.0422844651,0.0423654698,0.0422217978,0.0425473395,0.0416187978,0.0419443395
ARE,2004-06-30,18,36375.037924,,0.1263666761,0.0659520993,0.1245067769,0.0643896897,0.1236897769,0.0635726897
ARE,2004-07-31,18,40903.976657,,0.1131517538,0.0901326608,0.1145655582,0.0912021113,0.1136465582,0.0902831113
ARE,2004-08-31,19,45630.522814,,0.0134741179,0.004976431,0.0131113986,0.0047188058,0.0119953986,0.0036028058
ARE,2004-09-30,18,46188.352551,,0.0621535426,0.049850726,0.0627114853,0.0503205362,0.0615264853,0.0491355362
ARE,2004-10-31,18,49084.892745,,-0.03488398,-0.023648443,-0.034326927,-0.023121206,-0.035455927,-0.024250206
ARE,2004-11-30,19,47488.31201,,0.1889755841,0.1231459042,0.1885429332,0.1227800172,0.1870019332,0.1212390172
ARE,2004-12-31,19,56441.897652,,0.152390546,0.1687582156,0.1522103213,0.168700661,0.1505383213,0.167028661
ARE,2005-01-31,17,64580.587426,,0.0290750747,0.0381416681,0.029612981,0.0385980227,0.027951981,0.0369370227
ARE,2005-02-28,22,104953.67057,182801.08758,0.245746304,0.1310598247,0.2456168031,0.1307869418,0.2439758031,0.1291459418
